"BehaviorSpace results (NetLogo 6.2.2)"
"polarized4D.nlogo"
"polarizedStartPart93"
"03/31/2022 10:45:59:221 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","opinions","boundary","id_threshold","polrzd_opnns","polrzd_dist","polrzd_ratio","conformity-level","tolerance-level","p-speaking-level","mode","p-random","n-neis","max-ticks","record-each-n-steps","polar_repeats","draw_id_threshold","model","Centroids_change","boundary-drawn","tolerance-drawn","p-speaking-drawn","use_opponents_ratio?","polarisation-each-n-steps","d_threshold","ESBG_furthest_out","identity_levels","record-length","centroid_color?","conformity-drawn","N_centroids","dissatisfied_updates_opinion","create-links-randomly?","killing_centroids?","N-agents","construct-name?","avoid-redundancies?","HK-benchmark?","min-comm-neis","threshold_drawn","identity_type","X-opinion","Y-opinion","cut-links-randomly?","record?","updating","set-seed?","network-change","[step]","betweenness_start","eigenvector_start","clustering_start","mean_path_start","normalized_polarization_start","ESBSG_polarization_start","mean_op1_start","mean_op2_start","mean_op3_start","mean_op4_start","sd_op1_start","sd_op2_start","sd_op3_start","sd_op4_start","median_op1_start","median_op2_start","median_op3_start","median_op4_start","lower_op1_start","lower_op2_start","lower_op3_start","lower_op4_start","upper_op1_start","upper_op2_start","upper_op3_start","upper_op4_start","betweenness_final","eigenvector_final","clustering_final","mean_path_final","normalized_polarization_final","ESBSG_polarization_final","mean_op1_final","mean_op2_final","mean_op3_final","mean_op4_final","sd_op1_final","sd_op2_final","sd_op3_final","sd_op4_final","median_op1_final","median_op2_final","median_op3_final","median_op4_final","lower_op1_final","lower_op2_final","lower_op3_final","lower_op4_final","upper_op1_final","upper_op2_final","upper_op3_final","upper_op4_final"
"7","1","4","0.04","0.08","3","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.242","0.159","-0.03527131782945736","-0.03527131782945736","-0.03527131782945736","0.10859689922480618","0.3495758088369834","0.3495758088369834","0.3495758088369834","0.5582844469804887","-0.35","-0.35","-0.35","0.102","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","94.5038759689923","0.19861945145805576","0.568444703539101","2.476623062015504","0.283","0.126","-0.03527131782945736","-0.03527131782945736","-0.03527131782945736","0.10874984019087931","0.3495758088369834","0.3495758088369834","0.3495758088369834","0.5308683343657488","-0.35","-0.35","-0.35","-0.13889787337411943","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
"8","1","4","0.04","0.08","3","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.419","0.29","-0.07054263565891472","-0.07054263565891472","-0.07054263565891472","0.10859689922480616","0.6991516176739668","0.6991516176739668","0.6991516176739668","0.5582844469804887","-0.7","-0.7","-0.7","0.102","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7","97.1007751937984","0.3227545185724768","0.5701310849630864","2.517199612403101","0.445","0.299","-0.07054263565891472","-0.07054263565891473","-0.07054263565891472","0.10753677405633685","0.6991516176739668","0.6991516176739668","0.6991516176739668","0.5126630491916021","-0.7","-0.7","-0.7","0.04638558669552709","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7"
"16","1","4","0.04","0.12","3","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.242","0.159","-0.03527131782945736","-0.03527131782945736","-0.03527131782945736","0.10859689922480618","0.3495758088369834","0.3495758088369834","0.3495758088369834","0.5582844469804887","-0.35","-0.35","-0.35","0.102","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","94.5038759689923","0.19861945145805576","0.568444703539101","2.476623062015504","0.283","0.126","-0.03527131782945736","-0.03527131782945736","-0.03527131782945736","0.10874984019087931","0.3495758088369834","0.3495758088369834","0.3495758088369834","0.5308683343657488","-0.35","-0.35","-0.35","-0.13889787337411943","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
"9","1","4","0.04","0.08","3","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.24031007751935","0.6697771847465737","0.3069183266713687","2.2381298449612403","0.574","0.404","-0.10077519379844961","-0.10077519379844961","-0.10077519379844961","0.1085968992248062","0.9987880252485235","0.9987880252485232","0.9987880252485234","0.5582844469804885","-1","-1","-1","0.102","-1","-1","-1","-1","1","1","1","1","100.24806201550383","0.2668418547650861","0.6034235117047845","2.566375968992248","0.597","0.416","-0.10077519379844961","-0.10077519379844961","-0.10077519379844961","0.10332118377380312","0.9987880252485234","0.9987880252485233","0.9987880252485233","0.5278007124965555","-1","-1","-1","0.15714743060812622","-1","-1","-1","-1","1","1","1","1"
"4","1","4","0.04","0.08","2","0.35","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.258","0.104","-0.03527131782945736","-0.03527131782945736","0.055341085271317814","0.10859689922480613","0.34957580883698336","0.3495758088369834","0.616458300193077","0.5582844469804886","-0.35","-0.35","0.046","0.102","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35","165.34108527131792","0.17562641584251648","0.773666911178689","3.583454457364341","0.249","0.113","-0.03527131782945736","-0.03527131782945737","0.05324398105004312","0.11111006389911324","0.3495758088369834","0.3495758088369834","0.5906043490245959","0.5712237606857503","-0.35","-0.35","0.06346277731882408","0.076","-0.35","-0.35","-0.35","-0.35","0.35","0.35","0.35","0.35"
"15","1","4","0.04","0.12","2","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.30691832667136865","2.2381298449612403","0.469","0.259","-0.10077519379844961","-0.10077519379844961","0.05534108527131783","0.10859689922480618","0.9987880252485233","0.9987880252485235","0.6164583001930772","0.5582844469804888","-1","-1","0.046","0.102","-1","-1","-1","-1","1","1","1","1","214.6511627906977","0.17165129034631066","0.7941527333292628","4.3539244186046515","0.487","0.259","-0.10077519379844961","-0.10077519379844961","0.060690312020092466","0.1128889964178239","0.9987880252485235","0.9987880252485236","0.6066538078699392","0.5794842091514918","-1","-1","0.08357422199303564","0.07743018207262488","-1","-1","-1","-1","1","1","1","1"
"14","1","4","0.04","0.12","2","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.369","0.184","-0.07054263565891472","-0.07054263565891472","0.05534108527131783","0.10859689922480617","0.6991516176739668","0.6991516176739668","0.6164583001930771","0.5582844469804887","-0.7","-0.7","0.046","0.102","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7","48.0387596899225","0.39777370299125514","0.7817143864146341","false","0.352","0.188","-0.07054263565891472","-0.07054263565891472","0.05160991289150936","0.12015089283128451","0.6991516176739668","0.6991516176739668","0.5922285274085877","0.5595441279640756","-0.7","-0.7","0.046","0.06017388259879077","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7"
"5","1","4","0.04","0.08","2","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.369","0.184","-0.07054263565891472","-0.07054263565891472","0.05534108527131783","0.10859689922480617","0.6991516176739668","0.6991516176739668","0.6164583001930771","0.5582844469804887","-0.7","-0.7","0.046","0.102","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7","48.0387596899225","0.39777370299125514","0.7817143864146341","false","0.352","0.188","-0.07054263565891472","-0.07054263565891472","0.05160991289150936","0.12015089283128451","0.6991516176739668","0.6991516176739668","0.5922285274085877","0.5595441279640756","-0.7","-0.7","0.046","0.06017388259879077","-0.7","-0.7","-0.7","-0.7","0.7","0.7","0.7","0.7"
"12","1","4","0.04","0.12","1","1","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.377","0.166","-0.10077519379844961","0.06223255813953488","0.055341085271317855","0.10859689922480611","0.9987880252485235","0.5335844665975444","0.6164583001930771","0.5582844469804887","-1","0.059","0.046","0.102","-1","-0.354","-1","-0.354","1","0.4665","1","0.4665","35.418604651162795","0.4228860523064008","0.6559188570647222","false","0.377","0.165","-0.10077519379844961","0.06564352318243126","0.05705464716369426","0.10586703482519103","0.9987880252485234","0.5330504349426064","0.6191669074836151","0.5564593659911112","-1","0.046","0.033000420831879825","0.102","-1","-0.3814992469858427","-1","-0.3814992469858427","1","0.474","1","0.474"
"11","1","4","0.04","0.12","1","0.7","0.5","0.45","0.648","0.5","openly-listen","0.27","7","365","365","20","uniform","HK","1.0E-5","uniform","uniform","uniform","false","1010","0.8","5","2","40","true","uniform","2","0.41","false","true","129","false","false","false","5","uniform","global","1","2","false","false","1","true","link","364","79.2403100775194","0.6697771847465737","0.3069183266713686","2.2381298449612403","0.313","0.121","-0.07054263565891472","0.062232558139534926","0.055341085271317814","0.10859689922480614","0.6991516176739668","0.5335844665975444","0.6164583001930771","0.5582844469804886","-0.7","0.059","0.046","0.102","-0.7","-0.354","-0.7","-0.354","0.7","0.4665","0.7","0.4665","35.713178294573645","0.41732638458795573","0.6573696772243488","false","0.305","0.118","-0.07054263565891472","0.067828024678602","0.05849517838671103","0.10630351659148511","0.6991516176739668","0.5324449070170842","0.6188206636486209","0.5563699026797683","-0.7","0.072","0.019","0.102","-0.7","-0.3740863819665009","-0.7","-0.3740863819665009","0.7","0.474","0.7","0.474"
