ID,Sim,Seed,Population,Random_links,Close_links,Dimensions,Updating,Boundary,Boundary_method,P_speaking,Mode,Step,Uncertainty,Opinion1_Start,Opinion1_Final
Nei124,Sims02,1,129,0,64,1,1,0.1,constant,1,openly-listen,208,0.1,-0.51,-0.655
Nei125,Sims02,1,129,0,64,1,1,0.1,constant,1,openly-listen,208,0.1,0.481,0.612
Nei126,Sims02,1,129,0,64,1,1,0.1,constant,1,openly-listen,208,0.1,0.9,0.612
Nei127,Sims02,1,129,0,64,1,1,0.1,constant,1,openly-listen,208,0.1,-0.526,-0.655
Nei128,Sims02,1,129,0,64,1,1,0.1,constant,1,openly-listen,208,0.1,0.207,0.184
Nei0,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.658,-0.655
Nei1,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.852,-0.655
Nei2,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.021,0.184
Nei3,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.95,-0.655
Nei4,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.071,0.184
Nei5,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.187,0.184
Nei6,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.58,0.612
Nei7,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.853,-0.655
Nei8,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.776,0.612
Nei9,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.142,0.184
Nei10,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.893,0.612
Nei11,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.369,-0.655
Nei12,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.076,0.184
Nei13,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.46,-0.655
Nei14,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.817,-0.655
Nei15,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.863,0.612
Nei16,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.721,0.612
Nei17,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.624,-0.655
Nei18,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.025,0.184
Nei19,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.887,0.612
Nei20,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.896,-0.655
Nei21,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.946,-0.655
Nei22,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.164,0.184
Nei23,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.452,0.612
Nei24,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.171,0.184
Nei25,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.94,0.612
Nei26,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.143,0.184
Nei27,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.321,-0.655
Nei28,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.529,-0.655
Nei29,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.728,-0.655
Nei30,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.083,0.184
Nei31,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.448,0.612
Nei32,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.538,0.612
Nei33,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.761,0.612
Nei34,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.898,-0.655
Nei35,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.291,0.184
Nei36,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.066,0.184
Nei37,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.576,-0.655
Nei38,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.245,-0.199
Nei39,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.323,0.184
Nei40,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.557,0.612
Nei41,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.628,-0.655
Nei42,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.632,-0.655
Nei43,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.604,0.612
Nei44,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.036,0.184
Nei45,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.495,0.612
Nei46,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.803,-0.655
Nei47,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.365,0.184
Nei48,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.9,0.612
Nei49,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.977,0.612
Nei50,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.328,-0.655
Nei51,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.981,0.612
Nei52,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.571,-0.655
Nei53,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.759,-0.655
Nei54,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.713,0.612
Nei55,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.615,-0.655
Nei56,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.077,0.184
Nei57,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.315,0.184
Nei58,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.347,0.184
Nei59,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.886,0.612
Nei60,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.176,0.184
Nei61,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.5,-0.655
Nei62,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.372,0.184
Nei63,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.052,0.184
Nei64,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.785,0.612
Nei65,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.187,0.184
Nei66,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.833,0.612
Nei67,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.995,-0.655
Nei68,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.661,-0.655
Nei69,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.173,0.184
Nei70,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.403,0.184
Nei71,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.614,-0.655
Nei72,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.466,-0.655
Nei73,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.966,-0.655
Nei74,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.763,-0.655
Nei75,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.66,0.612
Nei76,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.164,0.184
Nei77,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.669,0.612
Nei78,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.226,0.184
Nei79,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.296,0.184
Nei80,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.473,0.184
Nei81,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.594,0.612
Nei82,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.305,0.184
Nei83,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.502,-0.655
Nei84,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.669,-0.655
Nei85,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.14,0.184
Nei86,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.307,-0.433
Nei87,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.457,-0.655
Nei88,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.739,0.612
Nei89,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.201,0.184
Nei90,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.714,0.612
Nei91,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.471,0.184
Nei92,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.684,-0.655
Nei93,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.543,0.612
Nei94,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.55,0.612
Nei95,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.021,0.184
Nei96,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.76,-0.655
Nei97,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.874,-0.655
Nei98,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.899,-0.655
Nei99,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.159,0.184
Nei100,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.371,0.184
Nei101,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.708,-0.655
Nei102,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.03,0.184
Nei103,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.856,-0.655
Nei104,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.022,0.184
Nei105,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.006,0.184
Nei106,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.198,0.184
Nei107,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.402,0.184
Nei108,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.948,-0.655
Nei109,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.423,-0.655
Nei110,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.02,0.184
Nei111,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.945,0.612
Nei112,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.162,0.184
Nei113,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.046,0.184
Nei114,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.74,0.612
Nei115,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.685,0.612
Nei116,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.046,0.184
Nei117,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.484,0.184
Nei118,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.065,0.184
Nei119,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.069,0.184
Nei120,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.289,0.184
Nei121,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.289,-0.433
Nei122,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.623,0.612
Nei123,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.441,-0.655
Nei124,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.51,-0.655
Nei125,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.481,0.612
Nei126,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.9,0.612
Nei127,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,-0.526,-0.655
Nei128,Sims02,1,129,0,64,1,1,0.1,constant,1,vaguely-speak,208,0.1,0.207,0.184
Nei0,Sims02,1,129,0,64,1,1,0.1,uniform,1,openly-listen,238,0.014,-0.658,-0.684
Nei1,Sims02,1,129,0,64,1,1,0.1,uniform,1,openly-listen,238,0.193,-0.852,-0.671
Nei2,Sims02,1,129,0,64,1,1,0.1,uniform,1,openly-listen,238,0.123,-0.021,0.13
